ip|browser|os
87.245.176.xxx|chrome|windows
87.255.1.xxx|miui|android
87.255.2.xxx|safari_mobile|ios_double
87.255.31.xxx|safari_mobile|ios_double
89.109.251.xxx|chrome|windows
89.169.220.xxx|chromemobile|android
89.169.38.xxx|chromemobile|android
89.169.79.xxx|chromemobile|android
89.175.58.xxx|yandex_browser|windows
89.179.187.xxx|chrome|windows
89.255.92.xxx|opera|windows
90.154.70.xxx|samsung_internet|android
90.154.72.xxx|yandex_browser|windows
91.149.129.xxx|chrome|windows
91.192.21.xxx|safari_mobile|ios_double
91.192.22.xxx|chromemobile|ios_double
91.198.130.xxx|chrome|windows
91.206.66.xxx|safari_mobile|ios_double
91.207.170.xxx|chromemobile|ios_double
91.207.171.xxx|safari_mobile|ios_double
91.219.164.xxx|opera|windows
91.220.120.xxx|safari_mobile|ios_double
91.223.32.xxx|chrome|windows
91.224.63.xxx|firefox|windows
91.224.97.xxx|chrome|windows
91.229.51.xxx|yandexsearch|ios_double
91.231.233.xxx|edge|windows
91.232.13.xxx|yandex_browser|windows
91.237.247.xxx|chrome|windows
91.242.161.xxx|miui|android
91.246.100.xxx|chrome|windows
91.246.113.xxx|safari_mobile|ios_double
91.246.99.xxx|chrome|windows
91.77.129.xxx|yandex_browser|android
91.77.132.xxx|safari_mobile|ios_double
91.78.220.xxx|chrome|windows
91.78.84.xxx|chromemobile|android
91.78.85.xxx|samsung_internet|android
91.78.89.xxx|chromemobile|android
91.78.93.xxx|safari_mobile|ios_double
91.78.95.xxx|chromemobile|android
91.79.64.xxx|chromemobile|ios_double
91.79.65.xxx|googlesearch|ios_double
91.79.67.xxx|yandex_browser|windows
91.79.69.xxx|yandex_browser|windows
91.79.72.xxx|safari_mobile|ios_double
91.79.73.xxx|samsung_internet|android
91.79.75.xxx|edge|windows
91.79.78.xxx|android_browser|android
92.243.174.xxx|samsung_internet|android
92.38.194.xxx|chrome|windows
92.39.133.xxx|chrome|windows
92.46.10.xxx|chrome|windows
92.50.187.xxx|chrome|windows
93.100.151.xxx|googlesearch|ios_double
93.170.112.xxx|chrome|windows
93.170.218.xxx|firefox|windows
93.171.160.xxx|safari_mobile|ios_double
93.174.52.xxx|chrome|windows
93.174.53.xxx|chrome|windows
93.188.43.xxx|chrome|windows
93.188.45.xxx|chrome|windows
93.188.46.xxx|chrome|windows
93.188.47.xxx|yandexsearch|android
93.80.78.xxx|safari_mobile|ios_double
93.80.94.xxx|yandex_browser|android
94.100.234.xxx|chromemobile|android
94.139.139.xxx|chromemobile|android
94.228.252.xxx|chrome|windows
94.25.168.xxx|samsung_internet|android
94.25.169.xxx|safari_mobile|ios_double
